station,service,first_time_utc,last_time_utc,start_date_utc,end_date_utc,interval_min,frames,station_series,camera,actuation_start,actuation_end,body_model,body_sn,lens_model,focal_length,lens_sn,time_accuracy_min,time_offset_s,time_drift_sday,time_reference,time_sources,notes
AK01,20070817,2007-05-13 02:02:34.00,2007-06-07 12:49:05.00,2007-05-13,2007-05-16,60,81,1,nikon-d200-01-24,0,166,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,60,28800,,,Sunrise / sunset times,
AK01,20071002,2007-08-17 19:23:02.23,2007-09-30 10:35:56.90,2007-08-17,2007-09-30,60,1464,2,nikon-d200-04-24,2234,3698,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,60,28800,,,Sunrise / sunset times,
AK01,20080616,2007-10-03 03:30:30.81,2007-10-15 00:17:30.65,2007-10-03,2007-10-15,120,295,3,nikon-d200-06-24,29592,29945,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,60,28800,,,Sunrise / sunset times,
AK01b,20080619,2008-06-18 01:45:16.08,2008-06-20 00:50:32.82,2008-06-18,2008-06-20,60,44,4,nikon-d200-08-24,3916,3959,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,60,28800,,,Sunrise / sunset times,
AK01b,20080921,2008-06-20 01:34:36.90,2008-09-21 19:46:18.49,2008-06-20,2008-09-21,60,1579,4,nikon-d200-08-24,3961,5539,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,60,28800,,,Sunrise / sunset times,
AK01b,20090510,2008-09-21 19:48:19.25,2009-05-10 20:50:17.07,2008-09-21,2009-05-10,60,2404,4,nikon-d200-08-24,5540,7944,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,60,28800,,,Sunrise / sunset times,
AK01b,20090824,2009-05-13 22:08:40.82,2009-05-13 22:55:37.82,2009-05-13,2009-05-13,20,5,4,nikon-d200-08-24,8002,8006,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,60,28800,,,Sunrise / sunset times,
AK01b,20090825,2009-08-25 04:18:39.57,2009-08-25 20:24:16.41,2009-08-25,2009-08-25,60,10,4,nikon-d200-08-24,8007,8016,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,60,28800,,,Sunrise / sunset times,
AK01b,20091024,2009-08-25 20:28:15.82,2009-10-25 01:09:55.70,2009-08-25,2009-10-25,20,2026,4,nikon-d200-08-24,8017,10043,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,60,28800,,,Sunrise / sunset times,
AK01b,20100515,2009-10-25 01:39:54.00,2010-05-15 20:59:38.89,2009-10-25,2010-05-15,20,5942,4,nikon-d200-08-24,10044,15956,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.5,29402,,,GPS Photos (20100515),
AK01b,20100820,2010-05-15 21:07:19.65,2010-08-21 01:56:10.00,2010-05-15,2010-08-21,20,5146,4,nikon-d200-08-24,15986,21086,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.5,29425,,,GPS Notes (20100820),
AK01b,20110516,2010-08-21 02:00:08.07,2011-05-16 22:18:44.90,2010-08-21,2011-05-16,20,8092,4,nikon-d200-08-24,21132,29202,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.05,0,1.056,2010:08:21:01:55:50,GPS Photos (20110516),
AK01b,20110918,2011-05-16 22:23:07.52,2011-09-18 18:27:23.42,2011-05-16,2011-09-18,20,5085,4,nikon-d200-08-24,29227,34313,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.05,306,0.176,2011:09:18:18:22:15,GPS Photos (20110918),
AK01b,20120418,2011-09-18 18:30:11.65,2012-04-18 18:20:47.29,2011-09-18,2012-04-18,20,4767,4,nikon-d200-08-24,34314,39103,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.05,306,1.260,2011:09:18:18:22:15,GPS Photos (20120418),
AK01b,20120825,2012-04-18 18:08:44.33,2012-08-25 21:42:37.09,2012-04-18,2012-08-25,20,6575,4,nikon-d200-08-24,39074,45655,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.05,612.01,0.291,2012:08:25:21:32:24,GPS Photos (20120825),
AK01b,20130514,2012-08-25 21:44:42.09,2013-05-15 23:27:35.81,2012-08-25,2013-05-15,20,5993,4,nikon-d200-08-24,45656,51648,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,1,612.01,1.056,2012:08:25:21:32:24,Assumes same drift as 2011-05-16 service,
AK01b,20131106,2013-05-15 23:29:19.81,2013-11-06 19:00:59.59,2013-05-15,2013-11-06,20,7455,4,nikon-d200-08-24,51649,59103,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,1,889.81,0.291,2013:05:15:23:27:35.81,Assumes same drift as 2012-08-25 service,
AK01b,20140611,2013-11-06 19:20:14.74,2014-06-11 20:20:10.42,2013-11-06,2014-06-11,20,6967,4,nikon-d200-08-24,59104,66102,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,1,941,1.073,2013:11:06:18:45:18,"Continues above assumptions, bounded by 2014-06-11 offset measurement.",
AK01b,20140925,2014-06-11 20:09:43.08,2014-09-25 18:37:28.11,2014-06-11,2014-09-25,20,5185,4,nikon-d200-08-24,66102,71256,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.05,1174,0.132,2014:06:11:20:00:34,"GPS Photos (20140611, 20140925)",
AK01b,20150324,2014-09-25 18:38:24.59,2015-03-24 20:08:03.08,2014-09-25,2015-03-24,20,4602,4,nikon-d200-08-24,71257,75858,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,1,1405.29,0.814,2015:06:19:18:31:08.71,"GPS Photos (20140925, 20150619)",
AK01b,20150619,2015-03-24 20:11:44.17,2015-06-19 18:54:37.71,2015-03-24,2015-06-19,20,4222,4,nikon-d200-08-24,75859,80080,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,1,1405.29,0.814,2015:06:19:18:31:08.71,"GPS Photos (20140925, 20150619)",
AK01b,20150918,2015-06-19 18:55:29.34,2015-09-18 19:12:32.32,2015-06-19,2015-09-18,20,4525,4,nikon-d200-08-24,80081,84605,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.5,1413.575,0.090,2015:09:18:18:48:57.425,"GPS Photos (20150619, 20150918). Accuracy compromised by bogus UTC time display on phone.",
AK01b,20160508,2015-09-18 19:13:51.81,2016-05-08 18:55:15.89,2015-09-18,2016-05-08,20,7382,4,nikon-d200-08-24,84606,91984,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.5,1612.62,0.854,2016:05:08:18:28:15.38,"GPS Photos (20150918, 20160508). Accuracy compromised by bogus UTC time display on phone.",
AK01b,20160526,2016-05-08 18:56:54.84,2016-05-26 19:33:40.00,2016-05-08,2016-05-26,20,1074,4,nikon-d200-08-24,91985,93058,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.5,1616.1,0.190,2016:05:26:19:06:38.9,"GPS Photos (20160508, 20160526). Accuracy compromised by bogus UTC time display on phone.",
AK01b,20160908,2016-05-26 19:34:47.28,2016-09-09 00:48:50.48,2016-05-26,2016-05-26,20,27,4,nikon-d200-08-24,93059,93085,Nikon D200,,AF Nikkor 24mm f/2.8D,24,,0.5,1617.49,0.013,2016:09:09:00:21:50.51,"GPS Photos (20160526, 20160909). Accuracy compromised by bogus UTC time display on phone.",
